10,10,10,70
15,00.09 03.00            ,05.83 03.99 03.31 06.01,06.86,09.01,09.64,08.71(A)
24,01.71 02.02            ,05.94 06.61 04.58 03.12,02.93,05.60,09.88,08.17(B)
45,07.10                  ,02.79 08.42 09.80 08.89,03.80,04.79,09.35,08.15(B)
35,09.15 08.54 03.52 08.97,01.50 03.78 00.21      ,08.00,03.95,08.66,07.77(B)
44,05.63 05.99 09.16      ,02.54 06.23 01.92 03.62,03.03,09.94,08.40,07.68(B)
39,09.19 09.24            ,00.63 02.80            ,02.89,04.40,09.10,07.65(B)
36,08.49                  ,06.96                  ,08.52,09.71,07.04,07.53(B)
33,08.64                  ,00.52                  ,05.89,06.73,08.29,07.53(B)
21,04.30 08.04            ,07.74                  ,04.05,09.22,07.57,07.30(B)
10,09.69 07.11 05.98 02.34,04.54 07.83 09.97 02.75,08.56,03.04,07.48,07.03(B)
17,03.42                  ,00.09                  ,07.67,01.50,08.21,06.84(C)
48,09.08                  ,06.06                  ,00.91,06.81,07.41,06.72(C)
40,08.69 05.07 04.63 01.26,08.92 08.08            ,08.97,00.79,07.24,06.66(C)
38,05.99 09.11 04.92 08.06,00.57                  ,07.05,00.05,07.39,06.46(C)
19,09.61 03.87 09.59      ,08.53                  ,07.91,08.85,04.82,05.84(C)
20,02.57 03.73            ,00.10                  ,07.66,04.74,06.22,05.81(C)
18,05.83                  ,02.01 01.54 00.19      ,07.12,03.40,06.38,05.76(C)
43,06.41 05.58            ,03.96 05.46 01.01      ,02.05,07.29,06.20,05.73(C)
26,08.88 03.63            ,00.48 05.02            ,03.72,04.28,06.11,05.53(C)
11,02.07                  ,03.48 05.26            ,01.96,03.82,06.47,05.47(D)
27,05.50 08.50            ,01.55                  ,05.94,01.75,05.94,05.45(D)
30,00.68 05.85 06.09 05.58,08.20 05.61 08.90 04.79,05.31,02.62,05.56,05.26(D)
49,02.20 06.27 07.32      ,06.45                  ,04.43,00.06,05.79,05.06(D)
46,08.03                  ,03.75 07.65 05.93 02.06,04.50,04.28,04.31,04.45(D)
28,05.19                  ,04.68 02.93 05.39 06.92,06.53,08.01,03.38,04.33(D)
12,02.92 06.81            ,03.63 01.40 04.39 07.35,05.93,00.56,04.60,04.32(D)
13,02.37 04.09 05.83      ,08.29 03.94            ,09.17,04.81,03.40,04.27(D)
32,09.07 00.03 07.39 07.95,08.85 06.55            ,03.68,01.97,04.14,04.13(D)
29,07.40                  ,01.61 03.01 03.29 05.59,04.46,09.48,03.23,04.08(D)
14,06.82 02.13 06.77 01.10,03.26 01.79 01.20 01.72,02.13,08.42,03.53,03.84(F)
22,09.23 02.62            ,08.41                  ,07.50,02.85,02.88,03.73(F)
50,08.88                  ,02.95 03.36            ,08.84,07.27,02.09,03.59(F)
34,09.04 01.70 02.64 01.40,05.31 09.77            ,00.28,09.65,02.83,03.48(F)
16,05.72 09.74            ,04.09                  ,03.29,08.97,02.24,03.45(F)
37,06.50 00.71            ,04.78 06.56            ,04.67,03.15,02.46,02.97(F)
42,07.24                  ,01.44 07.09 05.12 06.10,01.43,08.28,02.01,02.92(F)
31,04.52 08.31            ,00.57 02.57 02.13      ,04.35,06.77,01.77,02.72(F)
23,08.56 03.96 02.26      ,08.38                  ,05.55,06.66,01.25,02.68(F)
41,01.36                  ,00.74 07.40 09.97 10.00,09.42,00.27,01.30,02.47(F)
47,09.75                  ,02.72 00.06 01.94 04.73,09.42,05.50,00.84,02.47(F)
25,10.00 10.00            ,10.00 10.00 10.00      ,     ,06.23,00.26,01.81(F)
