10,10,10,70
34,02.00 03.00 04.00 10.00,06.00 07.00 08.00 09.00,09.00,10.00,10.00,09.52(A)
13,01.00 02.00 03.00 04.00,05.00 06.00 07.00 08.00,09.00,10.00,10.00,09.36(A)
33,01.00 02.00 03.00 04.00,05.00 06.00 07.00 08.00,08.00,09.00,10.00,09.15(A)
35,03.00 04.00 05.00 06.00,07.00 08.00 09.00 10.00,10.00,10.00,09.00,08.95(A)
14,02.00 03.00 04.00 05.00,06.00 07.00 08.00 09.00,10.00,10.00,09.00,08.86(A)
32,10.00 01.00 02.00 03.00,04.00 05.00 06.00 07.00,07.00,08.00,09.00,08.28(B)
15,03.00 04.00 05.00 06.00,07.00 08.00 09.00 10.00,10.00,09.00,08.00,08.15(B)
12,05.00 05.00 10.00 10.00,02.25 03.56 06.00      ,10.00,07.96,08.00,08.00(B)
36,04.00 05.00 06.00 07.00,08.00 09.00 10.00 01.00,09.00,08.00,08.00,07.93(B)
11,03.00 10.00 01.00 03.00,01.00 03.00 03.00 03.00,07.69,07.96,08.00,07.51(B)
31,09.00 10.00 01.00 02.00,03.00 04.00 05.00 06.00,06.00,07.00,08.00,07.40(B)
16,04.00 05.00 06.00 07.00,08.00 09.00 10.00 01.00,09.00,08.00,07.00,07.23(B)
37,05.00 06.00 07.00 08.00,09.00 10.00 01.00 02.00,08.00,07.00,07.00,07.00(B)
30,08.00 09.00 10.00 01.00,02.00 03.00 04.00 05.00,05.00,06.00,07.00,06.53(C)
17,05.00 06.00 07.00 08.00,09.00 10.00 01.00 02.00,08.00,07.00,06.00,06.30(C)
38,06.00 07.00 08.00 09.00,10.00 01.00 02.00 03.00,07.00,06.00,06.00,06.08(C)
29,07.00 08.00 09.00 10.00,01.00 02.00 03.00 04.00,04.00,05.00,06.00,05.65(C)
18,06.00 07.00 08.00 09.00,10.00 01.00 02.00 03.00,07.00,06.00,05.00,05.38(D)
39,07.00 08.00 09.00 10.00,01.00 02.00 03.00 04.00,06.00,05.00,05.00,05.15(D)
28,06.00 07.00 08.00 09.00,10.00 01.00 02.00 03.00,03.00,04.00,05.00,04.78(D)
19,07.00 08.00 09.00 10.00,01.00 02.00 03.00 04.00,06.00,05.00,04.00,04.45(D)
40,08.00 09.00 10.00 01.00,02.00 03.00 04.00 05.00,05.00,04.00,04.00,04.23(D)
27,05.00 06.00 07.00 08.00,09.00 10.00 01.00 02.00,02.00,03.00,04.00,03.90(F)
20,08.00 09.00 10.00 01.00,02.00 03.00 04.00 05.00,05.00,04.00,03.00,03.53(F)
26,04.00 05.00 06.00 07.00,08.00 09.00 10.00 01.00,01.00,02.00,03.00,03.03(F)
10,02.00 03.00 02.00 03.00,12.25 09.00 10.00 10.00,10.00,10.00,00.00,02.65(F)
21,09.00 10.00 01.00 02.00,03.00 04.00 05.00 06.00,04.00,03.00,02.00,02.60(F)
25,03.00 04.00 05.00 06.00,07.00 08.00 09.00 10.00,00.00,01.00,02.00,02.16(F)
50,01.00 02.00 03.00 04.00,05.00 06.00 07.00 08.00,09.00,00.00,01.00,02.05(F)
48,09.00 01.00 02.00 03.00,04.00 05.00 06.00 07.00,08.00,00.00,01.00,01.97(F)
46,07.00 08.00 09.00 01.00,02.00 03.00 04.00 05.00,06.00,00.00,01.00,01.79(F)
22,10.00 01.00 02.00 03.00,04.00 05.00 06.00 07.00,03.00,02.00,01.00,01.68(F)
45,05.00 06.00 07.00 08.00,09.00 01.00 02.00 03.00,04.00,00.00,01.00,01.62(F)
43,04.00 05.00 06.00 07.00,08.00 09.00 01.00 02.00,03.00,00.00,01.00,01.53(F)
24,02.00 03.00 04.00 05.00,06.00 07.00 08.00 09.00,01.00,00.00,01.00,01.35(F)
41,02.00 03.00 04.00 05.00,06.00 07.00 08.00 09.00,01.00,00.00,01.00,01.35(F)
49,08.00 09.00 01.00 02.00,03.00 04.00 05.00 06.00,07.00,01.00,00.00,01.28(F)
47,06.00 07.00 08.00 09.00,01.00 02.00 03.00 04.00,05.00,01.00,00.00,01.10(F)
44,03.00 04.00 05.00 06.00,07.00 08.00 09.00 01.00,02.00,01.00,00.00,00.84(F)
23,01.00 02.00 03.00 04.00,05.00 06.00 07.00 08.00,02.00,01.00,00.00,00.75(F)
42,01.00 02.00 03.00 04.00,05.00 06.00 07.00 08.00,02.00,01.00,00.00,00.75(F)
